Title;Price;Author;totalPages;language;genres
Neverwhere;20;Neil Gaiman;433;English;ADVENTURE
Equal Rites;20;Terry Pratchett;264;English;FANTASY, COMEDY
A Chromatic Approach to Jazz Harmony and Melody;40;David Liebman;244;English;NON_FICTION
Letters to a Young Poet;15;Rainer Maria Rilke;80;English;NON_FICTION
One Hundred Years of Solitude;18;Gabriel Garcia Marquez;417;English;ADVENTURE
Killing Commendatore;55;Haruki Murakami;704;English;MYSTERY
Neverwhere;20;Neil Gaiman;429;Nederlands;ADVENTURE
Art of War;20;Sun Tzu;273;English;HISTORICAL, NON_FICTION
The Alexandria Quaret;50;Lawrence Durrell;884;English;MYSTERY
Modern Jazz Voicings;35;Ted Pease;156;English;NON_FICTION
Harmony For a New Millenium;30;Randy Sandke;90;English;NON_FICTION
Naked Lunch;18;William S. Burroughs;289;English;THRILLER
House of Leaves;50;Mark Z. Danielewski;705;English;THRILLER
The Odyssey;15;Homer;541;English;HISTORICAL
Foundation;15;Isaac Asimov;255;English;SCI_FI
Lost Stars;25;Claudia Gray;551;English;ROMANCE, SCI_FI
